                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.67162,                0.57089,                 0.9331,                0.95371,                      1,                0.88552,                 0.9675,                0.80005,                      1,                0.88552,                 0.9675,                0.76645,                0.73407,                 1.0501,                 1.4294,                 1.0676,              0.0010382,              0.0010382,              0.0010382
                     26,                0.74806,                0.57576,                 1.0523,                 1.0193,                0.88434,                0.85248,                0.92656,                0.76312,                0.88434,                0.85248,                0.92656,                0.73777,                0.68355,                 1.1802,                  1.549,                 1.0394,              0.0010718,              0.0010718,              0.0010718
                     27,                0.63958,                0.56774,                0.98099,                0.98386,                      1,                0.77686,                0.94349,                0.80543,                      1,                0.77686,                0.94349,                0.75857,                0.66667,                 1.5797,                 1.6168,                 1.0964,              0.0011048,              0.0011048,              0.0011048
                     28,                0.71062,                0.49569,                0.99325,                 0.9653,                      1,                0.87996,                  0.975,                0.83628,                      1,                0.87996,                0.94687,                0.81329,                0.62147,                 1.0933,                 1.3681,                 1.0034,              0.0011371,              0.0011371,              0.0011371
                     29,                 0.6612,                0.46863,                0.97481,                0.96093,                      1,                0.87996,                  0.975,                0.83628,                      1,                0.87996,                0.94687,                0.81329,                0.62147,                 1.0933,                 1.3681,                 1.0034,              0.0011687,              0.0011687,              0.0011687
                     30,                0.69442,                0.50972,                0.99331,                0.96013,                0.88791,                 0.8811,                0.94893,                0.80375,                0.88791,                 0.8811,                0.94893,                 0.7445,                0.64881,                 0.7235,                  1.363,                 1.0414,              0.0011997,              0.0011997,              0.0011997
                     31,                0.66063,                 0.6232,                0.92163,                0.96009,                0.88166,                0.88889,                0.95056,                0.76531,                0.88166,                0.88889,                0.95056,                0.77115,                0.74143,                0.69447,                 1.4495,                 1.1777,                0.00123,                0.00123,                0.00123
                     32,                  0.722,                0.74062,                0.98499,                 0.9882,                      1,                0.98164,                  0.995,                0.77903,                      1,                0.98164,                  0.995,                0.79844,                0.89794,                0.79253,                 1.5672,                 1.4333,              0.0012596,              0.0012596,              0.0012596
                     33,                0.65087,                0.49072,                   1.05,                 1.0096,                      1,                0.98164,                  0.995,                0.77903,                      1,                0.98164,                  0.995,                0.79844,                0.89794,                0.79253,                 1.5672,                 1.4333,              0.0012886,              0.0012886,              0.0012886
                     34,                0.71101,                0.78009,                0.99719,                  1.024,                      1,                0.99871,                  0.995,                0.74003,                      1,                0.99871,                  0.995,                0.78057,                0.89463,                0.95932,                 1.4205,                 1.3848,              0.0013039,              0.0013039,              0.0013039
                     35,                0.71348,                0.61173,                 1.0372,                 1.0091,                0.98658,                0.88889,                0.91694,                0.64577,                0.98658,                0.88889,                0.91694,                0.67816,                0.97491,                 2.1804,                 1.6911,                 1.5556,              0.0013039,              0.0013039,              0.0013039
                     36,                0.78641,                0.68342,                 1.0506,                  1.012,                0.87156,                0.88889,                0.87578,                0.70536,                0.87156,                0.88889,                0.87578,                0.70431,                0.78957,                 2.4273,                 1.7233,                 1.2925,              0.0012929,              0.0012929,              0.0012929
                     37,                0.74168,                0.52557,                0.99006,                0.99832,                0.87156,                0.88889,                0.87578,                0.70536,                0.87156,                0.88889,                0.87578,                0.70431,                0.78957,                 2.4273,                 1.7233,                 1.2925,              0.0012819,              0.0012819,              0.0012819
                     38,                 0.8113,                0.66385,                  1.021,                 1.0344,                 0.8618,                0.77778,                0.87019,                0.69741,                 0.8618,                0.77778,                0.87019,                0.70196,                0.76108,                 3.1879,                 1.7903,                 1.2172,              0.0012709,              0.0012709,              0.0012709
                     39,                0.73658,                0.57205,                 0.9083,                0.97886,                0.97536,                0.55556,                0.74857,                0.63328,                0.97536,                0.55556,                0.77948,                 0.6234,                0.67024,                 2.0894,                 2.1419,                 1.1336,              0.0012599,              0.0012599,              0.0012599
                     40,                0.80829,                0.58936,                 1.1991,                 1.0868,                0.81568,                0.98473,                0.94125,                0.72048,                0.81568,                0.98473,                0.94125,                 0.7447,                0.82438,                 1.3733,                 1.5852,                 1.3799,              0.0012489,              0.0012489,              0.0012489
                     41,                0.80189,                0.62572,                 1.0284,                 1.0446,                0.81568,                0.98473,                0.94125,                0.72048,                0.81568,                0.98473,                0.94125,                 0.7447,                0.82438,                 1.3733,                 1.5852,                 1.3799,              0.0012379,              0.0012379,              0.0012379
                     42,                0.77646,                0.68381,                 1.0251,                 1.0367,                0.99601,                      1,                  0.995,                0.72606,                0.99601,                      1,                  0.995,                0.80733,                0.99607,                  1.023,                 1.2268,                 1.6499,              0.0012269,              0.0012269,              0.0012269
                     43,                0.77793,                0.59296,                 1.0613,                  1.078,                0.89358,                      1,                  0.995,                0.75006,                0.89358,                      1,                  0.995,                0.80856,                0.91613,                0.87491,                  1.221,                 1.5853,              0.0012159,              0.0012159,              0.0012159
